tid,EN
string,string
TID_LOADING,Loading
TID_UPDATING_CONTENT,Updating
TID_SHUTDOWN_STARTED,A short maintenance break is coming up in a few minutes. The game can't be played during the break.
TID_NAME_CHANGED_SUCCESS,Your account has a new name
TID_SETTINGS,Settings
TID_DAY,DAY
TID_AMOUNT_OUT_OF_MAX,<amount> / <max>
TID_LEVEL,Level
TID_LEVEL_NUMBER,Level <num>
TID_HIT_POINTS,Health <total>
TID_HIT_POINTS_CURRENT,Health <current>/<total>
TID_DAMAGE,Damage <damage>
TID_DAMAGE_X_N,Damage <damage> x <count>
TID_QUEST_TARGET,Target of a Quest. Destroy for extra reward!
TID_ATTACK_COUNTER_IMMEDIATE,Will attack after your turn!
TID_ATTACK_COUNTER,Will attack in <number> turns
TID_MOVES,MOVES
TID_TRIES,Tries:
TID_POPUP_EXIT_GAME_TITLE,Exit game
TID_POPUP_EXIT_GAME_TEXT,Are you sure you want to exit the game?
TID_BUTTON_YES,Yes
TID_BUTTON_NO,No
TID_BUTTON_OKAY,Okay
TID_BUTTON_CANCEL,Cancel
TID_BUTTON_RETRY,Retry
TID_BUTTON_REFILL,Refill
TID_BUTTON_CONFIRM,Confirm
TID_BUTTON_CONNECT_ONLINE,Connect
TID_BUTTON_RANK,Rank:
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Update Game
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,Click button to update the game
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Update
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,OUT OF SYNC
TID_ERROR_POP_UP_OUT_OF_SYNC,Something went wrong and the game is out of sync. Chillax!
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Reload
TID_NO_PUZZLE_ENERGY,Out of Energy...
TID_NEXT_ENERGY_TIMER,Next life in:
TID_COST_FREE,FREE
TID_EXTRA_MOVES,Buy extra moves for:
TID_LEVEL_FAILED_NO_MOVES,No possible moves left!
TID_LEVEL_FAILED_TITLE,Puzzle Failed!
TID_LEVEL_COMPLETE,Well played!
TID_LEVEL_COMPLETE_TITLE,Puzzle Complete!
TID_LEVEL_START_TITLE,Let's Go!
TID_LEVEL_START,Goal:
TID_LEADERBOARD,Leaderboard
TID_NAME_INSTRUCTIONS,Pick a name you like. This is how other players will see you!
TID_GIVE_NAME_TITLE,My name is...
TID_BUTTON_DONE,Done
TID_NAME_TOO_SHORT,Name is too short!
TID_INVALID_NAME,Invalid name! Please try another one.
TID_ENTER_NAME_TITLE,Enter Name
TID_UNLOCK_LEVEL,Unlock after Puzzle Level
TID_UNLOCK_LEVEL_WITH_NUMBER,Unlock after Puzzle Level <LEVEL>
TID_GEMS,Gems
TID_PUZZLE_ENERGY,Energy
TID_ENERGY_FULL,Full
TID_INFINITE_PUZZLE_ENERGY_TIME,Infinite Energy
TID_TIME_DAYS,d
TID_TIME_HOURS,h
TID_TIME_MINS,m
TID_TIME_SECS,s
TID_QUIT_PUZZLE,Leave Battle?
TID_QUIT_PUZZLE_TEXT,Leave this battle and return to main menu?\n\nYou’ll keep the loot gained so far.
TID_BUTTON_PLAY_ON,Cancel
TID_BUTTON_QUIT,Leave
TID_INFO_POP_UP_TOS_PP_TITLE,Important Notice
TID_INFO_POP_UP_TOS_PP_NOTE,"Clash Quest is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap Okay to accept our <TOS>Terms</TOS> and <PP>Privacy Policy</PP>."
TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID,"Clash Quest is free to play, but you can speed up progress with in-app purchases (to disable this, set up password protection in your Google Play Store app settings). Tap Okay to accept our <TOS>Terms</TOS> and <PP>Privacy Policy</PP>."
TID_INFO_POP_UP_TOS_PP_BUTTON1,Okay
TID_INFO_POP_UP_TOS_PP_BUTTON2,Terms of Service
TID_INFO_POP_UP_IAP_NOTE_TITLE,Important Notice
TID_INFO_POP_UP_IAP_NOTE,"Clash Quest is free to play, but you can speed up progress with in-app purchases (you can disable this in your device settings). Tap Okay to accept our Terms and Privacy Policy."
TID_INFO_POP_UP_IAP_NOTE_BUTTON,Okay
TID_CONTACT_US_WELCOME_TEXT,Hello!
TID_SELFHELP_UNAVAILABLE,Help and Support is unavailable right now. Please try later.
TID_MUSIC_ON,Music ON
TID_MUSIC_OFF,Music OFF
TID_SOUNDS_ON,Sounds ON
TID_SOUNDS_OFF,Sounds OFF
TID_ON,ON
TID_OFF,OFF
TID_SOUNDS,Sound Effects
TID_MUSIC,Music
TID_BUTTON_CONNECT,Connect
TID_WAITING_FOR_PENDING_TRANSACTION,Waiting for pending transaction
TID_HUD_ENERGY,<VALUE><cAABED0>/<MAXVALUE></c>
,
TID_RATE_APP_TITLE,Rate Clash Quest
TID_RATE_APP_MESSAGE,Please rate or review Clash Quest on App Store to give us valuable feedback!
TID_RATE_APP_MESSAGE_ANDROID,Please rate or review Clash Quest on Play Store to give us valuable feedback!
TID_BUTTON_RATE_APP_LATER,Later
TID_BUTTON_RATE_APP_REVIEW,Review
TID_BUTTON_RATE_APP_NEVER,Never
,
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT_TITLE,New Game Center login
TID_BIND_TO_NEW_GAMECENTER_ACCOUNT,Do you want to save your current game on this Game Center account?
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT_TITLE,Google Account Alert
TID_BOUND_TO_OTHER_ACCOUNT_LOAD_VILLAGE_TITLE,Load game?
TID_BUTTON_VILLAGE_LOAD,Load
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT_TITLE,Game Center Alert
TID_GOOGLE_SERVICE_BOUND_TO_OTHER_ACCOUNT,Do you want to load another progress with <number> Star Chests? Warning: progress in the current game will be lost.
TID_GAMECENTER_BOUND_TO_OTHER_ACCOUNT,Do you want to load another progress with <number> Star Chests? Warning: Progress in the current game will be lost.
TID_CANNOT_SWITCH_TO_ACCOUNT_WITHOUT_SUPERCELL_ID,Do you want to load another progress with <number> Star Chests? Load it by logging in with your Supercell ID.
TID_GOOGLE_ACCOUNT_ALREADY_BOUND,Google Play Sign-In failed! Your Google account is already associated with another game account.
,
TID_CREDITS_BUTTON,Credits
TID_ABOUT,Credits\n\n<names>\n\nClash Quest <version>\nCopyright 2021 Supercell Ltd. All Rights Reserved.\nUS Patent Pending\nAll use of this software is subject to Terms and Conditions and Privacy Policy at www.supercell.com
TID_NOT_ENOUGH_PUZZLE_ENERGY,Not enough Energy to play puzzle
TID_NOT_ENOUGH_FARM_ENERGY_TITLE,Out of Farm Energy
,
TID_HINT_WELCOME,"Loading Barbarians, Archers, Wizards etc."
TID_POPUP_NOT_ENOUGH_COINS_TITLE,Not enough gold
TID_POPUP_NOT_ENOUGH_COINS_TEXT,Use Gems to buy missing gold?
TID_POPUP_NOT_ENOUGH_GEMS_TITLE,Not enough Gems
TID_POPUP_NOT_ENOUGH_GEMS_TEXT,More Gems are needed.\nGo to the Gem Shop?
TID_SPEEDUP_TITLE,Complete now?
TID_SPEEDUP_COST,Speed up cost:
TID_UNLOCKS,UNLOCKED!
TID_SEASON_COMPLETE_TITLE,Season complete
TID_SEASON_COMPLETE_TEXT,Congrats for completing a season!
TID_SEASON_COMPLETE_GOODS_SOLD_TEXT,GOLD FROM MARKET
TID_SELL_BUTTON,SELL
,
TID_DEFAULT_SEARCH_TEXT,INSERT NAME HERE
TID_NH_SEARCH,Search for a clan!
TID_NH_CREATE,Create New
TID_MEMBERS,Members
TID_TAB_BUTTON_ALLIANCE_CHAT,Chat
TID_TAB_BUTTON_ALLIANCE_SEARCH,Search
TID_TAB_BUTTON_ALLIANCE_MEMBERS,Members
TID_NH_MEMBERS_ONLINE,Members online:
TID_NH_CREATE_TITLE,Create Clan
TID_NH_NAME,Clan Name
TID_NH_DESCRIPTION,Clan Description
TID_NH_CREATE_BUTTON,Create Clan!
TID_LEAVE,Leave
TID_JOIN,Join
TID_ALLIANCE_LEFT,Left clan!
TID_ALLIANCE_CREATED,Clan created!
TID_ALLIANCE_JOINED,Joined clan!
TID_DEFAULT_ALLIANCE_NAME,INSERT NAME HERE
TID_DEFAULT_ALLIANCE_DESCRIPTION,INSERT DESCRIPTION HERE
TID_TOO_SHORT_ALLIANCE_NAME,Clan name too short
TID_ALLIANCE_ROLE_MEMBER,Member
TID_ALLIANCE_ROLE_LEADER,Leader
TID_ALLIANCE_ROLE_ADMIN,Admin
TID_ALLIANCE_ROLE_CO_LEADER,Co-Leader
TID_PROMOTE,Promote
TID_DEMOTE,Demote
TID_KICK,Kick
,
TID_STREAM_SENDER_YOU,You
TID_STREAM_ENTRY_AGE,<time> ago
TID_STREAM_EVENT_JOINED,<name> joined
TID_STREAM_EVENT_LEFT,<name> left
TID_STREAM_EVENT_KICKED,<name> was kicked from clan
TID_STREAM_EVENT_PROMOTED,<name> promoted
TID_STREAM_EVENT_DEMOTED,<name> demoted
TID_STREAM_EVENT_ACCEPTED,<name> accepted to clan
TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE,Leave clan?
TID_ALLIANCE_LEAVE_CONFIRMATION,Do you really want to leave this clan?
,
TID_TAP_OPEN,Tap to open...
TID_TAP_TO_CONTINUE,Tap to continue…
TID_SHOP,Shop
TID_FRIENDS,Friends
TID_EVENTS,Challenges
TID_MAIL,Mail
TID_ANIMAL_BUTTERFLY1,Butterfly
TID_ANIMAL_LOBSTER,Lobby
TID_CHECKING_NAME,Registering Name...
TID_CHECKING_NAME_FAILED,Name not allowed.
TID_NO_NAME_YET,Buddy
TID_BUTTON_PURCHASE,Buy
TID_BUTTON_PURCHASE_FREE,Get
TID_SHOP_CLOSED,"Sorry, closed!"
TID_SHOP_NEW,NEW!
TID_SHOP_UNLOCKED_AT,Unlock by collecting <cf3f2c8><STARS> Star Chests</c>
TID_SHOP_HEADER_OFFERS,Special Offers
TID_SHOP_HEADER_OFFERS_COLOR,cc4141
TID_SHOP_HEADER_DAILY_DEALS,Daily Deals
TID_SHOP_HEADER_DAILY_DEALS_COLOR,cc4141
TID_SHOP_HEADER_DAILY_DEALS_TIME,<cF3F2C8>New deals in</c> <TIME>
TID_SHOP_HEADER_GEMS,Gems
TID_SHOP_HEADER_GEMS_COLOR,cc4141
TID_SHOP_HEADER_GOLD,Gold
TID_SHOP_HEADER_GOLD_COLOR,cc4141
TID_SHOP_HEADER_BATTLE_TOKENS,Quest Tokens
TID_SHOP_HEADER_BATTLE_TOKENS_COLOR,cc4141
TID_SHOP_HEADER_ELIXIR_LOOT_BOXES,Elixir Crate
TID_SHOP_HEADER_ELIXIR_LOOT_BOXES_COLOR,cc4141
TID_SHOP_DEAL_GOLD,<number> Gold
TID_SHOP_DEAL_QUEST_TOKEN,One Quest Token
TID_SHOP_DEAL_QUEST_TOKENS,<number> Quest Tokens
TID_SHOP_DEAL_GEM,One Gem
TID_SHOP_DEAL_GEMS,<number> Gems
TID_SHOP_DEAL_ELIXIR,One Elixir
TID_SHOP_DEAL_ELIXIRS,<number> Elixir
TID_SHOP_DEAL_CAP,One more <name>
TID_SHOP_DEAL_CAPS,<number> <name>
TID_SHOP_GEM_PACK_1,Pile of Gems
TID_SHOP_GEM_PACK_2,Bag of Gems
TID_SHOP_GEM_PACK_3,Bucket of Gems
TID_SHOP_GEM_PACK_4,Tub of Gems
TID_SHOP_GEM_PACK_5,Boat of Gems
TID_SHOP_GEM_PACK_6,Wave of Gems
TID_SHOP_GOLD_PACK_1,<number> Gold
TID_SHOP_GOLD_PACK_2,<number> Gold
TID_SHOP_GOLD_PACK_3,<number> Gold
TID_SHOP_TOKEN_PACK_1,<number> Quest Tokens
TID_SHOP_TOKEN_PACK_2,<number> Quest Tokens
TID_SHOP_TOKEN_PACK_3,<number> Quest Tokens
TID_SHOP_ELIXIR_LOOT_BOX_1,Elixir Crate
TID_INFO_ELIXIR_LOOT_BOX,"Gain 20 elixir, shared between 4 different troops!"
TID_SHOP_CONFIRM_POPUP_MAX_ELIXIR,Maximum elixir is already reached.\n\nConfirm purchase on alternative reward of <GOLD_AMOUNT> Gold instead?
TID_SHOP_UNABLE_TO_BUY_ELIXIR_CRATE_FLOATER,Unable to buy Elixir Crate
TID_SHOP_MAX_RESOURCE_CAP_FLOATER,Resource cap reached
TID_SHOP_FOR,For <NAME>s
,
TID_AREA_REWARDS,Rewards
TID_ADD_MOVES_AND_CONTINUE,Continue with <num> move moves?
TID_BUTTON_CONTINUE,Continue
TID_BUTTON_GIVE_UP,Give up
TID_OUT_OF_MOVES_TITLE,Out of Moves!
TID_LOSE_STREAK_TITLE,Are you sure?
TID_WIN_STREAK_BONUS_LOSE,You will lose your win streak!
TID_LEVEL_GOALS,Goals:
TID_BATTLE_BUTTON,Play
TID_SELECT_BOOSTERS,Select Boosters:
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Connection error
TID_ERROR_POP_UP_CONNECTION_FAILED,Unable to connect with the server. Check your internet connection and try again.
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Try again
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Connection error
TID_ERROR_POP_UP_AUTO_DISCONNECTED,Unable to connect with the server. Check your internet connection and try again.
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Try again
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Connection lost
TID_ERROR_POP_UP_CONNECTION_LOST,You have lost connection with the server. Check your internet connection and try again.
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Try again
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Maintenance
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON,"Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES,"Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR,"Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,"Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS,"Sorry, the servers are under maintenance. Please try again later."
TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG,"Sorry, the servers are under maintenance. Please try again later."
TID_MAINTENANCE_ESTIMATED_UNKNOWN,Please try again later.
TID_MAINTENANCE_ESTIMATED_SOON,Please try again later.
TID_MAINTENANCE_ESTIMATED_MINUTES,Please try again later.
TID_MAINTENANCE_ESTIMATED_HOUR,Please try again later.
TID_MAINTENANCE_ESTIMATED_HOUR_AND_HALF,Please try again later.
TID_MAINTENANCE_ESTIMATED_TWO_HOURS,Please try again later.
TID_MAINTENANCE_ESTIMATED_LONG,Please try again later.
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Try again
,
TID_PUZZLE_REWARDS,You got:
TID_PUZZLE_REWARDS_CHESTS_REMAINING,<cF3F2C8>Chests remaining: </c><VALUE>
TID_UNLOCKED,You found:
TID_NO_REWARDS,You didn't gain any loot this time.\n\nBetter luck next time!
TID_BUTTON_OK,OK!
,
TID_BUTTON_CONNECTED,Connected
TID_BUTTON_DISCONNECTED,Disconnected
TID_SUPERCELL_ID,Supercell ID
TID_SUPERCELL_ID_DESCRIPTION,Connect to Supercell ID to safeguard your progress and see the Friends Leaderboard.
TID_CONNECT_SUPERCELL_ID_BUTTON,Connect
TID_SOCIAL_BUTTONS_LABEL,Check these out!
TID_GOOGLE_PLAY,Google Play
TID_BUTTON_SIGN_IN,Sign-In
TID_BUTTON_SIGNED_IN,Signed-In
TID_PLAYER_ID,Player ID: <HIGH>-<LOW>
TID_BUTTON_PLAY_WITHOUT_SCID,Play without Supercell ID
TID_BUTTON_SCID_LOGIN,Log in with Supercell ID
TID_POPUP_OFFLINE_TITLE,No connection
TID_POPUP_OFFLINE_TEXT,Go online and try again!
TID_OK_OFFLINE_POPUP,Continue
TID_SETTINGS_BUTTON_HELP,Help & Support
TID_SETTINGS_BUTTON_PRIVACY,Privacy
TID_SETTINGS_BUTTON_PARENTS,Parent's Guide
TID_SETTINGS_BUTTON_TERMS,Terms of Service
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_TITLE,New device
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_MESSAGE,"Loading latest progress from server, play online to sync between devices"
TID_NATIVE_DIALOG_LOGIN_WITH_NON_PRIMARY_ACCOUNT_BUTTON,Reload
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Login failed
TID_ERROR_POP_UP_LOGIN_FAILED,Please try again later.
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Try again
TID_ERROR_POP_UP_BANNED_TITLE,You have been banned!
TID_ERROR_POP_UP_BANNED,You have been banned temporarily
TID_ERROR_POP_UP_BANNED_BUTTON,OK
TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS,Contact Support
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Purchase failed
TID_ERROR_POP_UP_PURCHASE_FAILED,Billing server not responding. Please try again later.
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,OK
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE,Updating to new version
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE,We are updating to a new version of Clash Quest. Please check back in a short while!
TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON,OK
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE,Account unlock unavailable
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE,Account unlock is unavailable at the moment. Please try again later!
TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON,Try again
TID_POPUP_CONFLICTING_ACCOUNT_TITLE,Conflicting Account
TID_POPUP_CONFLICTING_ACCOUNT_TEXT,The account you are trying to log in with is different from the account stored locally. Switch to the current account?
TID_BUTTON_CONFLICTING_ACCOUNT_YES,"Yes, switch to current account."
TID_BUTTON_CONFLICTING_ACCOUNT_NO,"No, use the original account."
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Connection lost
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,Another device is connecting to this account
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Reload
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_TITLE,Login failed
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY,"Sorry, this game is not available in your country yet."
TID_ERROR_POP_UP_UNSUPPORTED_COUNTRY_BUTTON,OK
TID_AVATAR_MESSAGE_SENDER_PLAYER_SUPPORT,Player Support
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE,"A refund was requested for this account and it has been approved on <refundDate>. The refund will be made to the form of payment used when the order was made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refund. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE_PLURAL,"Refunds were requested for this account and they have been approved on <refundDate>. The refunds will be made to the form of payment used when the orders were made.\n\nA total of <totalRevokedGems> gems have been deducted from your account, to match the value of your refunds. This may result in a negative gem balance. A positive balance can be restored by making additional orders and collecting resources in-game."
TID_SHOP_CATEGORY_PUZZLE_PASS,Puzzle Pass
TID_SHOP_CATEGORY_CHRONOS_OFFERS,Special Offers
TID_SHOP_CATEGORY_OFFERS,Offers
TID_SHOP_CATEGORY_PUZZLE_ENERGY,Gem Packs
TID_SHOP_CANNOT_PURCHASE_MORE,You have already purchased all the available offers
TID_CANNOT_CHANGE_NAME_TIMER,You can only change your name every <TIME> hours
,
TID_BUTTON_ATTACK,Attack
TID_BUTTON_ATTACK_ENDLESS,Attack
,
TID_REGION_1_NAME,Goblin Kingdom
TID_REGION_2_NAME,Lava Land
TID_REGION_3_NAME,Shock Shores
TID_REGION_4_NAME,Elixir Springs
,
TID_MAP_NODE_1_NAME,Shifty Beach
TID_MAP_NODE_2_NAME,Palmtree Bank
TID_MAP_NODE_3_NAME,Unsafe Island
TID_MAP_NODE_4_NAME,Armored Cay
TID_MAP_NODE_5_NAME,Cannonball Reef
TID_MAP_NODE_6_NAME,Totem Heights
TID_MAP_NODE_7_NAME,Howitzer Hill
TID_MAP_NODE_8_NAME,Fatal Point
TID_MAP_NODE_9_NAME,Shady Shelter
TID_MAP_NODE_10_NAME,Roaster Rock
TID_MAP_NODE_11_NAME,Red-Hot Heights
TID_MAP_NODE_12_NAME,Magma Bank
TID_MAP_NODE_13_NAME,Hot Pot
TID_MAP_NODE_14_NAME,Burnmark Mountain
TID_MAP_NODE_15_NAME,P.E.K.K.A's Pool
TID_MAP_NODE_16_NAME,Pointy Ridge
TID_MAP_NODE_17_NAME,Scorching Skull
TID_MAP_NODE_18_NAME,Bone Pickin's
TID_MAP_NODE_19_NAME,Mount Charge
TID_MAP_NODE_20_NAME,Reinforced Rock
TID_MAP_NODE_21_NAME,Electro Mound
